Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,30,28.00,1.89,0.03,0.08,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,100,27.95,6.28,0.10,0.28,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,98,27.95,6.16,0.10,0.27,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,100,27.95,6.28,0.10,0.28,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,100,27.95,6.28,0.10,0.28,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,500,28.00,31.46,0.50,1.40,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,6,27.95,0.38,0.01,0.02,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,1,27.90,0.06,0.00,0.00,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,1,28.30,0.06,0.00,0.00,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,1,28.30,0.06,0.00,0.00,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,3,28.25,0.19,0.00,0.01,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,2,28.30,0.13,0.00,0.01,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,2000,28.30,127.19,2.04,5.66,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,1,28.30,0.06,0.00,0.00,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,50,28.30,3.18,0.05,0.14,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,81,28.30,5.15,0.08,0.23,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,1,28.30,0.06,0.00,0.00,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,1,28.30,0.06,0.00,0.00,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
